Ward,Zone,Buildings,Households,2011 Population,Name,residential_area_m2,population_per_res_m2,population_per_1000_res_m2
182,14,8012,5417,21451,182,510472.13155190967,0.042021882633995776,42.02188263399577
183,14,6135,5555,21902,183,278053.857553609,0.07876891258657426,78.76891258657426
184,14,8947,7205,27714,184,431530.7702567346,0.06422253500836533,64.22253500836533
190,14,4421,3849,19027,190,277698.80137086747,0.0685166803244116,68.51668032441161
191,14,2844,4635,18795,191,285302.3596041213,0.06587747828682346,65.87747828682346
192,15,4952,6354,23187,192,477965.2351877225,0.04851189645810375,48.51189645810375
193,15,2585,4422,16151,193,435422.3858958666,0.03709271852610396,37.092718526103965
194,15,4017,5210,20994,194,233980.40857496046,0.08972546089590291,89.72546089590291
195,15,3393,4394,16350,195,350194.71009743016,0.04668831232616606,46.68831232616606
196,15,12458,12535,40923,196,215699.70132127576,0.18972209859042358,189.72209859042357
198,15,4404,5553,20675,198,441420.25723064126,0.04683745175110383,46.83745175110383
199,15,2362,2827,12323,199,104089.7492799625,0.11838821867901457,118.38821867901457
200,15,5631,5663,26106,200,146766.94625592188,0.17787383784955363,177.87383784955364
170,13,7300,7962,44257,170,361148.70843604,0.12254508729009614,122.54508729009613
172,13,9383,10597,48061,172,485986.63557492883,0.0988936659608822,98.8936659608822
173,13,9410,11495,40631,173,517123.2812595666,0.07857120627219555,78.57120627219555
178,13,10538,11102,39952,178,285519.6601184874,0.1399273170310597,139.92731703105972
179,13,9905,10504,37765,179,347211.2654123829,0.10876663219768086,108.76663219768086
180,13,10788,11750,41210,180,402010.7250343828,0.10250970293510311,102.50970293510312
181,14,5353,4987,19027,181,260400.37808802983,0.07306825028329189,73.06825028329189
